(561, 316)
(551, 336)
(548, 356)
(545, 373)
(545, 374)
(541, 385)
(536, 398)
(523, 410)
(516, 417)
(502, 435)
(479, 445)
(471, 448)
(451, 451)
(429, 452)
(415, 448)
(398, 447)
(383, 442)
(374, 433)
(362, 426)
(359, 418)
(356, 409)
(354, 403)
(350, 396)
(346, 389)
(345, 382)
(344, 372)
(343, 362)
(340, 351)
(336, 342)
(333, 326)
(333, 316)
(335, 302)
(335, 287)
(337, 275)
(338, 271)
(346, 240)
(352, 221)
(356, 206)
(366, 191)
(376, 172)
(391, 159)
(404, 146)
(425, 135)
(440, 136)
(454, 143)
(468, 156)
(481, 164)
(490, 173)
(490, 173)
(499, 177)
(513, 179)
(528, 188)
(530, 192)
(535, 198)
(540, 205)
(542, 213)
(546, 220)
(551, 232)
(556, 240)
(557, 240)
(561, 249)
(561, 259)
(561, 271)
(559, 285)
(560, 295)
(560, 307)
(559, 318)
(559, 326)
(569, 325)
